date,BA
2020-02-15,-1
2020-02-16,-1
2020-02-17,-1
2020-02-18,-1
2020-02-19,-1
2020-02-20,-1
2020-02-21,-2
2020-02-22,-1
2020-02-23,-1
2020-02-24,-1
2020-02-25,-1
2020-02-26,0
2020-02-27,-1
2020-02-28,0
2020-02-29,-1
2020-03-01,1
2020-03-02,6
2020-03-03,-1
2020-03-04,0
2020-03-05,-2
2020-03-06,-1
2020-03-07,0
2020-03-08,-1
2020-03-09,-1
2020-03-10,-1
2020-03-11,-1
2020-03-12,0
2020-03-13,3
2020-03-14,4
2020-03-15,3
2020-03-16,6
2020-03-17,8
2020-03-18,11
2020-03-19,12
2020-03-20,14
2020-03-21,12
2020-03-22,15
2020-03-23,20
2020-03-24,22
2020-03-25,23
2020-03-26,22
2020-03-27,23
2020-03-28,17
2020-03-29,13
2020-03-30,20
2020-03-31,21
2020-04-01,20
2020-04-02,19
2020-04-03,19
2020-04-04,14
2020-04-05,12
2020-04-06,17
2020-04-07,16
2020-04-08,16
2020-04-09,15
2020-04-10,17
2020-04-11,12
