date,CZ,Central Bohemian Region,Hradec Králové Region,Karlovy Vary Region,Liberec Region,Moravian-Silesian Region,Olomouc Region,Pardubice Region,Plzeň Region,Prague,South Bohemian Region,South Moravian Region,Ústí nad Labem Region,Vysocina Region,Zlin Region
2020-02-15,-2,-2,-2,-1,-2,-2,-2,-3,-2,-3,-3,-3,-2,-1,-2
2020-02-16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-3,-1,-1,-1
2020-02-17,0,1,0,0,1,0,0,0,1,0,-1,1,0,1,0
2020-02-18,0,0,1,1,1,0,-1,0,1,0,-1,1,0,1,0
2020-02-19,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
2020-02-20,0,0,0,1,0,0,-1,0,1,0,-1,1,0,0,-1
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
2020-02-22,-3,-2,-2,-2,-2,-1,-2,-2,-2,-5,-2,-5,-2,-2,-1
2020-02-23,0,0,1,0,1,0,0,1,1,-1,-1,-1,0,0,0
2020-02-24,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0
2020-02-25,0,1,1,3,1,1,1,1,0,0,0,-1,1,0,0
2020-02-26,0,0,0,2,0,0,0,0,0,0,0,-1,1,1,0
2020-02-27,0,0,0,2,0,0,0,0,0,0,0,-1,1,0,0
2020-02-28,0,1,0,2,1,1,1,0,1,0,1,-1,1,1,1
2020-02-29,0,0,0,-1,0,0,0,0,-1,-2,0,-1,1,1,0
2020-03-01,-1,-1,-1,0,0,-1,-1,0,-1,-2,-1,-1,-1,0,-2
2020-03-02,0,1,1,0,1,0,0,0,1,0,-1,0,1,0,2
2020-03-03,1,2,2,1,2,1,1,1,2,2,0,0,2,1,3
2020-03-04,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
2020-03-05,0,1,1,0,0,0,0,0,1,0,-1,0,1,0,2
2020-03-06,1,1,1,0,1,0,1,1,3,0,0,0,1,1,4
2020-03-07,0,0,0,0,1,0,0,1,-1,1,1,0,1,0,0
2020-03-08,-1,-1,-2,-1,-2,-1,-2,-1,-1,-2,-2,-2,-1,-1,-1
2020-03-09,1,2,1,1,3,0,0,0,1,1,0,0,1,3,1
2020-03-10,1,1,1,1,3,-1,-1,0,1,2,-1,-1,1,2,0
2020-03-11,5,7,5,4,3,5,5,6,6,7,4,5,5,5,6
2020-03-12,5,6,5,4,4,4,4,5,5,7,3,4,4,4,5
2020-03-13,8,9,8,5,7,6,7,8,7,11,7,8,7,7,8
2020-03-14,5,5,5,4,3,6,5,5,5,7,5,5,4,4,7
2020-03-15,4,4,4,3,3,4,4,4,4,6,3,5,3,4,5
2020-03-16,15,16,13,11,13,14,15,13,13,21,13,16,12,13,14
2020-03-17,18,20,16,15,16,17,18,16,16,25,16,20,14,16,17
2020-03-18,19,20,16,14,16,17,19,17,17,25,17,20,14,17,17
2020-03-19,20,22,18,16,18,18,20,18,17,26,17,21,15,17,18
2020-03-20,22,24,21,18,21,20,22,21,19,27,19,22,19,20,21
2020-03-21,15,15,15,13,14,15,15,14,15,17,15,15,13,14,15
2020-03-22,12,12,12,10,11,12,13,12,12,17,11,13,9,11,12
2020-03-23,21,22,19,16,20,20,21,19,19,26,18,22,16,19,20
2020-03-24,21,23,20,17,20,20,20,19,19,27,18,22,16,19,20
2020-03-25,21,23,19,16,19,20,21,19,19,27,19,22,16,20,19
2020-03-26,22,24,20,19,20,20,21,20,21,28,19,23,18,20,20
2020-03-27,22,23,20,19,21,21,22,21,21,26,20,23,18,21,21
2020-03-28,11,11,11,10,10,10,10,10,10,12,10,11,9,10,10
2020-03-29,11,11,11,10,10,10,10,10,10,15,9,11,9,10,9
2020-03-30,20,22,19,17,20,20,19,19,19,25,18,21,17,18,19
2020-03-31,21,23,20,18,21,20,19,20,20,26,18,21,18,19,19
2020-04-01,20,22,18,16,19,19,18,19,19,25,18,21,16,19,18
2020-04-02,20,22,19,16,19,19,18,19,19,25,17,21,16,18,19
2020-04-03,22,23,21,20,22,21,21,22,21,27,20,22,19,20,21
2020-04-04,11,12,11,9,11,10,11,11,10,13,10,11,10,10,11
2020-04-05,7,8,7,5,7,7,7,7,7,10,6,8,5,7,7
2020-04-06,18,20,17,14,18,16,16,17,16,22,15,19,14,16,17
2020-04-07,17,19,16,14,17,16,15,16,16,22,14,18,13,15,16
2020-04-08,16,18,15,12,15,14,14,15,15,20,14,17,12,15,15
2020-04-09,14,17,14,11,14,13,13,13,14,18,12,15,11,13,14
2020-04-10,27,28,27,23,26,26,27,28,27,25,26,28,23,28,29
2020-04-11,7,8,7,5,7,7,7,7,6,7,6,7,5,7,8
