"country","Grocerypharmacy","Parks","Residential","Retailrecreation","Transitstations","Workplace","mean"
"AE",0.63707,"0.71734",0.7106,0.70782,0.71756,0.68885,0.69238
"AF",0.64706,"0.68584",0.7292,0.71577,0.71896,0.66848,0.695894
"AO",0.57363,"0.59033",0.61186,0.57999,0.59802,0.52246,0.577192
"AR",0.44343,"0.64563",0.63278,0.66797,0.59198,0.58155,0.583542
"AT",0.48867,"0.52254",0.6218,0.59046,0.55235,0.63831,0.578318
"AU",NA,"0.68631",0.80387,0.72194,0.85175,0.74488,0.78061
"BA",0.53816,"0.39788",0.55915,0.5099,0.4737,0.53609,0.5234
"BB",0.39674,"0.39007",0.32004,0.39461,0.40038,0.41134,0.384622
"BD",0.74909,"0.73613",0.74018,0.74313,0.74115,0.68584,0.731878
"BE",0.50998,"0.35689",0.69933,0.65939,0.66098,0.70695,0.647326
"BF",0.70015,"0.65748",0.70283,0.6587,0.71089,0.61269,0.677052
"BG",0.52877,"0.58607",0.61626,0.57477,0.64004,0.59171,0.59031
"BH",0.71701,"0.72125",0.7771,0.72644,0.73254,0.77404,0.745426
"BO",0.38995,"0.39083",0.44214,0.39306,0.40865,0.42328,0.411416
"BR",0.44289,"0.58594",0.63328,0.58214,0.57449,0.57433,0.561426
"BW",0.44874,"0.47062",0.55465,0.48746,0.54889,0.55352,0.518652
"BZ",0.37304,"0.41801",0.24222,0.40603,0.41281,0.43882,0.374584
"CA",0.46432,"0.53377",0.75897,0.73011,0.80136,0.72823,0.696598
"CH",0.24942,NA,0.70308,0.77356,0.63906,0.67701,0.608426
"CL",0.58706,"0.57741",0.61086,0.5866,0.64585,0.68545,0.623164
"CM",0.66446,"0.64749",0.71158,0.67353,0.68411,0.62883,0.672502
"CO",0.58535,"0.58006",0.63433,0.57612,0.61214,0.61428,0.604444
"CR",0.7457,"0.74837",0.76133,0.74289,0.74861,0.7469,0.749086
"CZ",0.23559,NA,0.47924,0.41296,0.37009,0.53932,0.40744
"DE",0.30919,"-0.17694",0.69723,0.67317,0.66602,0.7243,0.613982
"DK",0.29775,"-0.59123",0.56762,0.49839,0.57138,0.63896,0.51482
"DO",0.6423,"0.61142",0.66089,0.63615,0.6752,0.63129,0.649166
"EC",0.61408,"0.63812",0.68219,0.63526,0.62264,0.63059,0.636952
"EE",0.50387,NA,0.47383,0.54367,0.51176,0.5435,0.515326
"EG",0.50414,"0.62027",0.67568,0.72735,0.68622,0.65163,0.649004
"ES",0.53644,"0.70697",0.7318,0.76972,0.79315,0.73439,0.7131
"FI",0.48955,"-0.48241",0.57498,0.60911,0.64851,0.65611,0.595652
"FR",0.3665,"0.6534",0.56415,0.7208,0.64349,0.45036,0.54906
"GA",0.70459,"0.62036",0.71671,0.70437,0.70391,0.70297,0.70651
"GB",0.32013,"0.39905",0.71927,0.73542,0.74729,0.7095,0.646322
"GH",0.53852,"0.71779",0.74109,0.71755,0.70556,0.63321,0.667186
"GR",0.46127,"0.64241",0.72119,0.70935,0.6974,0.66328,0.650498
"GT",0.64423,"0.72326",0.75786,0.70439,0.71496,0.75006,0.7143
"HK",-0.18641,"0.18728",0.20867,0.27689,0.18341,NA,0.12064
"HN",0.48649,"0.5101",0.49882,0.48979,0.48845,0.46531,0.485772
"HR",0.43904,"0.38284",0.5249,0.42621,0.46665,0.52845,0.47705
"HU",0.43781,"0.4582",0.64481,0.60071,0.62169,0.70876,0.602756
"ID",0.6608,"0.70191",0.80446,0.73315,0.81062,0.71084,0.743974
"IE",0.55102,"0.25575",0.76802,0.77755,0.78691,0.75598,0.727896
"IL",0.46965,"0.63465",0.59502,0.68954,0.61644,0.66103,0.606336
"IN",0.58182,"0.70628",0.77902,0.80131,0.7213,0.68947,0.714584
"IQ",0.64173,"0.69358",0.7345,0.6913,0.67631,0.6585,0.680468
"IT",0.53679,"0.6743",0.73908,0.76471,0.70724,0.75485,0.700534
"JM",0.56181,"0.63148",0.6086,0.61838,0.65081,0.6172,0.61136
"JO",0.47041,"0.4796",0.45811,0.46702,0.51225,0.41692,0.464942
"JP",NA,"-0.18719",0.57968,0.42382,0.53514,0.70338,0.560505
