Date,S1_Schoolclosing,S1_IsGeneral,S2_Workplaceclosing,S2_IsGeneral,S3_Cancelpublicevents,S3_IsGeneral,S4_Closepublictransport,S4_IsGeneral,S5_Publicinformationcampaigns,S5_IsGeneral,S6_Restrictionsoninternalmovement,S6_IsGeneral,S7_Internationaltravelcontrols,S8_Fiscalmeasures,S9_Monetarymeasures,S10_Emergencyinvestmentinhealthcare,S11_InvestmentinVaccines,S12_Testingframework,S13_Contacttracing,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay
"2020-03-19",,,,,,,,,,,,,,,,,,,,3,0
"2020-03-20",,,,,,,,,,,,,,,,,,,,12,0
"2020-03-21",,,,,,,,,,,,,,,,,,,,14,0
"2020-03-22",,,,,,,,,,,,,,,,,,,,15,1
"2020-03-23",,,,,,,,,,,,,,,,,,,,27,1
"2020-03-24",,,,,,,,,,,,,,,,,,,,29,1
"2020-03-25",,,,,,,,,,,,,,,,,,,,32,1
"2020-03-26",,,,,,,,,,,,,,,,,,,,37,1
"2020-03-27",,,,,,,,,,,,,,,,,,,,49,1
"2020-03-28",,,,,,,,,,,,,,,,,,,,51,1
"2020-03-29",,,,,,,,,,,,,,,,,,,,55,1
"2020-03-30",,,,,,,,,,,,,,,,,,,,56,1
"2020-03-31",,,,,,,,,,,,,,,,,,,,60,1
"2020-04-01",,,,,,,,,,,,,,,,,,,,69,3
"2020-04-02",,,,,,,,,,,,,,,,,,,,77,3
"2020-04-03",,,,,,,,,,,,,,,,,,,,82,3
"2020-04-04",,,,,,,,,,,,,,,,,,,,87,4
"2020-04-05",,,,,,,,,,,,,,,,,,,,93,4
"2020-04-06",,,,,,,,,,,,,,,,,,,,110,4
"2020-04-07",,,,,,,,,,,,,,,,,,,,112,4
"2020-04-08",,,,,,,,,,,,,,,,,,,,121,4
"2020-04-09",2,1,2,0,2,1,0,,,,2,1,2,23,0.25,,,3,0,125,4,61.9,61.9
"2020-04-10",2,1,2,0,2,1,0,,,,2,1,2,23,0.25,,,3,0,128,4,61.9,61.9
"2020-04-11",2,1,2,0,2,1,0,,,,2,1,2,23,0.25,,,3,0,130,4,61.9,61.9
